vid,sid,date,transId,transPage,hitNo,sOrigin,sDes,sMarket,sld
9198422981339891285,1485887996,20170201,x8cuyh,/vbook/actions/mobi/review,45,chc,akl,domestic,9
9202237732612163457,1485927332,20170201,yfvjbh,/vbook/actions/bookingconfirmation,83,npe,ivc,domestic,9
9203485180079185743,1485891948,20170201,hic7lh,/vbook/actions/bookingconfirmation,222,akl,syd,tasman,32
9203634846814154693,1485919189,20170201,iuywyh,/vbook/actions/bookingconfirmation,59,pmr,akl,domestic,56
9206840275426514777,1485934775,20170201,nsvw6h,/vbook/actions/bookingconfirmation,68,nan,akl,pacific,25
9207478864020998461,1485914588,20170201,awdrfh,/vbook/actions/mobi/purchasetickets,17,nsn,akl,domestic,1
9208552455543673182,1485893021,20170201,tum4fh,/vbook/actions/bookingconfirmation,54,hlz,wlg,domestic,12
9211143214165829187,1485890490,20170201,uy3dnh,/vbook/actions/bookingconfirmation,61,trg,wlg,domestic,7
9215869563697442014,1485937636,20170201,cbn3wh,/vbook/actions/mobi/purchasetickets,21,akl,lhr,long haul,102
9218039514319313516,1485941998,20170201,w7tzhh,/vbook/actions/bookingconfirmation,88,bhe,wlg,domestic,212
9223041811190122856,1485901884,20170201,6hckjh,/vbook/actions/bookingconfirmation,70,chc,wlg,domestic,22
820299391636964168,1485889044,20170201,36esyh,/vbook/actions/bookingconfirmation,44,akl,chc,domestic,27
821361017351662931,1485910675,20170201,zqmywh,/vbook/actions/bookingconfirmation,117,wlg,akl,domestic,260
821423148364815058,1485920977,20170201,fnzp6h,/vbook/actions/bookingconfirmation,73,chc,akl,domestic,50
825066792452340242,1485891572,20170201,elz3jh,/vbook/actions/bookingconfirmation,38,chc,akl,domestic,10
825578250023588685,1485914469,20170201,qsjpwh,/vbook/actions/bookingconfirmation,72,wlg,akl,domestic,8
827047188961301210,1485937771,20170201,5x6iyh,/vbook/actions/bookingconfirmation,84,zqn,chc,domestic,9
829614759098209075,1485910628,20170201,fmakhh,/vbook/actions/mobi/bookingconfirmation,95,ivc,wlg,domestic,8
829614759098209075,1485910628,20170201,wymx2h,/vbook/actions/mobi/bookingconfirmation,113,npe,ivc,domestic,14
829972323717199702,1485944662,20170201,5yrwfh,/vbook/actions/mobi/bookingconfirmation,26,adl,akl,tasman,40
831128211085651374,1485893039,20170201,q6pbbh,/vbook/actions/bookingconfirmation,71,akl,syd,tasman,14
831517592798160617,1485936409,20170201,3w77uh,/vbook/actions/bookingconfirmation,60,mel,chc,tasman,45
834869986593856542,1485909618,20170201,amve6h,/vbook/actions/bookingconfirmation,50,chc,ivc,domestic,23
835330965422928732,1485937337,20170201,5x476h,/vbook/actions/mobi/review,8,npe,akl,domestic,23
835330965422928732,1485937337,20170201,4pumlh,/vbook/actions/mobi/bookingconfirmation,30,akl,npe,domestic,24
835840511697268690,1485919810,20170201,hm4m8h,/vbook/actions/bookingconfirmation,69,akl,bhe,domestic,1
836892078643399577,1485913161,20170201,2hh4wh,/vbook/actions/bookingconfirmation,102,chc,akl,domestic,27
838204886946983045,1485915541,20170201,iuhafh,/vbook/actions/bookingconfirmation,78,wlg,dud,domestic,120
